username,password,role,sex,telephone,address
谢晨,123456,0,0,13453940032,湖南省哈尔滨县永川王街k座 362414
秦红霞,123456,0,1,15709843759,广西壮族自治区沈阳市翔安萧街H座 259003
陈彬,123456,0,1,18064365410,广西壮族自治区玉梅县萧山永安路t座 117015
徐莹,123456,1,1,13687734704,陕西省勇县永川赵路M座 200738
王莉,123456,1,1,18260182860,湖北省艳县西夏沈阳路z座 783619
邓桂香,123456,1,1,18537293443,澳门特别行政区梧州县沙市金街N座 910488
吴桂英,123456,0,1,18282016786,四川省太原市长寿郑街v座 533030
李帅,123456,1,0,18716641412,山东省南京市沈河拉萨街d座 704877
刘建,123456,1,,14581997340,新疆维吾尔自治区丽娟县锡山蓝路v座 293459
曹莉,123456,0,1,14571625487,吉林省合肥县沈北新深圳街z座 379513
张丽丽,123456,0,,14584888818,内蒙古自治区福州市涪城郝街Q座 994794
马浩,123456,0,,15509800755,山东省西宁市长寿通辽路V座 815791
耿秀梅,123456,1,1,13690252330,重庆市武汉县和平郑州街K座 444252
刘磊,123456,1,0,15145766653,山西省佛山县黄浦徐街k座 701670
刘秀芳,123456,0,1,15966568896,天津市楠市徐汇王路E座 628622
鲁鹏,123456,1,0,18045596722,江西省欢县南湖许街d座 831327
王桂芳,123456,0,0,15617664880,广西壮族自治区郑州市海港哈尔滨路Q座 566288
王丽,123456,1,,13707300887,青海省宁德县翔安李路U座 259706
黄雷,123456,1,,13922744356,香港特别行政区玲市沙市姚路S座 862766
刘飞,123456,0,1,13996615986,台湾省凯县浔阳张街r座 103105
曾伟,123456,1,1,15547339808,天津市辛集县长寿刘街S座 609187
谭秀华,123456,0,1,18697003292,台湾省丹丹市孝南张街W座 380253
石秀梅,123456,0,1,15683232381,安徽省宇市魏都黄街B座 740858
唐斌,123456,1,0,14719649054,广西壮族自治区雷市吉区胡路M座 202300
高冬梅,123456,0,0,13906167229,山东省静市淄川俞路g座 667633
王丽,123456,1,0,13936074718,广西壮族自治区石家庄市长寿王街B座 480743
朱华,123456,0,,18028816914,西藏自治区桂花市吉区刘路O座 383380
蒋秀华,123456,1,,18585649331,香港特别行政区洋县华龙沈阳路y座 456975
刘雷,123456,1,1,13383244355,福建省洋市崇文赵路q座 471507
战丽,123456,0,,18886207734,江西省太原县龙潭陈街o座 560313
陆勇,123456,0,,15179362796,广西壮族自治区武汉市普陀吴路r座 838984
范海燕,123456,0,0,15146986382,浙江省静市普陀佛山街g座 322640
胡春梅,123456,0,0,14757307004,辽宁省太原市和平柳州街O座 598262
徐利,123456,0,0,18754706964,北京市齐齐哈尔县闵行宋街w座 343198
刁建军,123456,0,,15008425805,重庆市济南市怀柔东莞街E座 590656
周刚,123456,0,0,13998776578,贵州省西宁县锡山巢湖街H座 959815
黄淑英,123456,1,,14577185635,广西壮族自治区乌鲁木齐市涪城张街L座 240013
张帅,123456,0,,18880846589,澳门特别行政区汕尾市西峰赵路C座 154007
梁琴,123456,0,0,18921002775,河北省张家港县海港宁德街b座 965599
李丹,123456,0,,18983374220,福建省潜江县大东阜新路n座 832322
陶荣,123456,1,1,13802522612,海南省欣市崇文傅路r座 240875
傅玲,123456,0,,15967850531,北京市丽丽市静安南京街U座 256597
陈冬梅,123456,1,1,13967528890,广东省兴安盟市城北赵路q座 860254
李刚,123456,1,0,13491139818,江西省东莞县和平王街A座 776159
潘旭,123456,1,1,15381804317,上海市南昌市双滦张路z座 833271
黄强,123456,0,,14773206150,福建省西宁县崇文荆门路F座 938706
朱英,123456,1,,15370270643,福建省军县平山合肥路W座 185184
余利,123456,1,0,18860522654,江西省永安市清河巢湖路T座 859140
段丽娟,123456,1,,15155290475,江西省娟市东丽潜江路v座 113551
杜敏,123456,0,1,18979365048,山东省超市平山巢湖路t座 724382
赵建华,123456,1,1,18087919496,天津市合肥市孝南朱路v座 173624
柴涛,123456,0,,13665167816,黑龙江省南京县金平张街b座 101174
林勇,123456,1,,18885775779,吉林省红梅县金平潜江街k座 440436
徐建,123456,1,1,18196968620,江苏省兴城市城东贵阳街d座 896535
林丽娟,123456,1,1,18626213375,安徽省银川县梁平辛集路C座 765977
张玉华,123456,1,0,15772560642,吉林省淮安市浔阳孟路W座 652775
陈宁,123456,0,,15502613414,云南省玉县朝阳宁德路E座 473924
聂英,123456,1,0,13473920182,海南省荆门县长寿汕尾街F座 241066
丁飞,123456,0,1,18090015821,河北省香港县翔安傅街E座 323167
苗玉珍,123456,0,1,15762073444,辽宁省成都县东城淮安路R座 517852
吴凤英,123456,0,0,15284208645,上海市凯市西夏太原街Y座 178507
隋婷婷,123456,1,0,13663127976,澳门特别行政区六安县合川昆明街T座 242915
吴健,123456,0,,18010326901,广东省潜江市沙市郑州路a座 770032
卢佳,123456,1,0,13741924019,浙江省云市永川郑州街Q座 887925
戴丽,123456,0,1,18237468220,河北省丹丹市沈北新永安街m座 592362
王桂香,123456,0,,13060353277,江西省洁县永川蔡街d座 863470
沈红,123456,1,0,13464807283,香港特别行政区巢湖县闵行沈阳街h座 750372
张东,123456,0,,13421707620,山东省香港县永川梧州街u座 805745
乔婷婷,123456,0,0,13680370601,江西省玉英市和平宋路q座 975220
张桂英,123456,1,,18006362976,广西壮族自治区西安县普陀辽阳路M座 711016
李飞,123456,0,0,15889669467,重庆市南昌县沙湾海门路x座 932948
周晨,123456,1,,13063077481,上海市合肥市南湖宁德路C座 417037
屠莹,123456,1,0,18143175398,贵州省太原县沈河张街f座 953077
陈秀华,123456,1,0,15538072467,重庆市乌鲁木齐县门头沟王路q座 906492
谭俊,123456,1,1,18834107225,香港特别行政区想市南长孙路r座 140164
吴秀兰,123456,0,,13920659788,黑龙江省莹县蓟州邹街v座 700368
杨辉,123456,0,,13649311386,香港特别行政区呼和浩特市龙潭佛山路b座 451024
张秀珍,123456,1,1,13436754162,四川省北镇市双滦齐齐哈尔街a座 313900
张丹,123456,1,0,14710935934,山东省荣县新城冯街j座 168006
张瑜,123456,0,1,18117510560,内蒙古自治区关岭市高港侯街m座 689525
吴欢,123456,1,0,13294448715,浙江省飞市秀英李路o座 199340
李岩,123456,0,,18906198068,香港特别行政区六安市清河范路q座 387969
吴峰,123456,1,,18601787096,香港特别行政区芳市海港石家庄街s座 664649
周杰,123456,0,1,15033010205,河北省明县长寿合肥路Q座 452710
黄雪梅,123456,0,0,15382269647,江苏省静县长寿长春路n座 789127
李红梅,123456,0,0,15948662094,海南省海口市清城王路W座 979371
毛建国,123456,0,,13749805068,黑龙江省兰英市南湖福州街P座 912132
吕佳,123456,1,,15243336558,湖南省娟县南湖辛集路B座 374753
刘涛,123456,1,0,18600412845,河南省玉兰市蓟州周街r座 906060
王博,123456,0,0,15979226960,江西省辉市高坪深圳街m座 991819
沈莉,123456,1,0,13334076646,内蒙古自治区邯郸市高港侯街y座 711905
姚洁,123456,0,,13314833464,新疆维吾尔自治区桂芳市长寿李街k座 566079
曹利,123456,1,1,13365675812,河北省惠州县清浦孙街F座 116192
梁丽,123456,0,1,18553792907,海南省杭州县大兴贾路n座 571185
张琴,123456,0,0,15101178340,贵州省辽阳市黄浦康路u座 674228
关璐,123456,1,0,15638885142,上海市拉萨县西夏石街U座 647163
陈宁,123456,0,0,18763495202,河北省贵阳县高港孙街H座 832697
董敏,123456,0,0,14790923501,浙江省博县怀柔王路D座 282171
张丽华,123456,1,0,13195318360,山东省杭州县江北周街b座 306250
郭岩,123456,1,0,18064735909,内蒙古自治区合肥县双滦何路h座 331381
